Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio State Line Station or Conan Terminal, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 140.18
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio State Line Station or Conan Terminal, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 65.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio State Line Station or Conan Terminal, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 50.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio State Line Station or Conan Terminal, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 27.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Connection to Western Refining Conan Gathering, LLC, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 50.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Connection to Western Refining Conan Gathering, LLC, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",NA
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Connection to Western Refining Conan Gathering, LLC, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",NA
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Connection to Western Refining Conan Gathering, LLC, Loving County, Texas","Centurion Pipeline L.P., Rio Midland Delivery Facility, Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",NA
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio Midland Delivery Facility, Midland County, Texas","Centurion Pipeline L.P., Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 17.87
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio Midland Delivery Facility, Midland County, Texas","Centurion Pipeline L.P., Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 8.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio Midland Delivery Facility, Midland County, Texas","Centurion Pipeline L.P., Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 3.00
Andeavor Logistics Rio Pipeline LLC,13-06-2025,2,"Rio Midland Delivery Facility, Midland County, Texas","Centurion Pipeline L.P., Plains Pipeline, L.P. Midland South Terminal, or ET Interconnect, Midland County, Texas",[U] 2.00
