Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
CACTUS II PIPELINE LLC,01-02-2026,2,"Midland, Midland County (1) Crane, Crane County (1) McCamey, Upton County","George West, Live Oak County Taft, San Patricio County Ingleside, Nueces County",[U] 251.12
CACTUS II PIPELINE LLC,01-02-2026,2,"Wink South, Winkler County","George West, Live Oak County Taft, San Patricio County Ingleside, Nueces County",[U] 330.88
CACTUS II PIPELINE LLC,01-02-2026,2,"Orla, Reeves County","George West, Live Oak County Taft, San Patricio County Ingleside, Nueces County",[U] 370.12
CACTUS II PIPELINE LLC,01-02-2026,2,"Midland, Midland County (1) Crane, Crane County (1)","George West, Live Oak County (4) Taft, San Patricio County Ingleside, Nueces County",[U] 90.00
CACTUS II PIPELINE LLC,01-02-2026,2,"McCamey, Upton County","George West, Live Oak County (4) Taft, San Patricio County Ingleside, Nueces County",[U] 129.64
CACTUS II PIPELINE LLC,01-02-2026,2,"Wink South, Winkler County","George West, Live Oak County (4) Taft, San Patricio County Ingleside, Nueces County",[U] 160.52
CACTUS II PIPELINE LLC,01-02-2026,2,"Orla, Reeves County","George West, Live Oak County (4) Taft, San Patricio County Ingleside, Nueces County",[U] 179.04
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 142.70
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 131.27
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 171.22
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 142.70
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 131.27
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 232.13
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 198.97
CACTUS II PIPELINE LLC,01-02-2026,3,"Midland, Midland County(1) Crane, Crane County(1) McCamey, Upton County","Taft, San Patricio County Ingleside, Nueces County",[U] 165.81
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 199.75
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 188.35
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 228.31
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 199.75
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 188.35
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 298.46
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 265.30
CACTUS II PIPELINE LLC,01-02-2026,3,"Wink South, Winkler County","Taft, San Patricio County Ingleside, Nueces County",[U] 232.13
CACTUS II PIPELINE LLC,01-02-2026,3,From (Origin Points in Texas),To (Destination Points in Texas),Committed Rate* (7)(9)
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 245.43
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 234.01
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 273.96
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 245.43
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 234.01
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 351.51
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 318.34
CACTUS II PIPELINE LLC,01-02-2026,3,"Orla, Reeves County","Taft, San Patricio County Ingleside, Nueces County",[U] 285.20
