Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Chickadee Gathering pipelines locations in Upton County, Texas",Interconnection on the Mainline,64.15
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Chickadee Gathering pipelines locations in Upton County, Texas",Interconnection on the Mainline,65.15
"EnLink Crude Pipeline, LLC",19-06-2025,26,"BITS Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,77.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"BITS Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,78.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Pegasus Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,56.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Pegasus Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,57.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Bradford Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,40.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Bradford Gathering pipelines location in Midland County, Texas",Interconnection on the Mainline,41.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Rio West Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,26.00
"EnLink Crude Pipeline, LLC",19-06-2025,26,"Rio West Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,27.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"HP Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,32.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"HP Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,33.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"RW Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,29.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"RW Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,30.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"RN Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,16.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"RN Gathering pipelines located in Midland County, Texas",Interconnection on the Mainline,17.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"Trucking locations in Upton County, Texas and Midland County, Texas",Interconnection on the Mainline,18.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,"Trucking locations in Upton County, Texas and Midland County, Texas",Interconnection on the Mainline,19.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,Interconnection on the Mainline,"Permian Express Midland Terminal and [N] Medallion 158 Station in Midland County Texas; Enterprise Midland Terminal in Midland County, Texas; P66 Gray Oak Pipeline in Upton County, Texas",30.00
"EnLink Crude Pipeline, LLC",19-06-2025,27,Interconnection on the Mainline,"Permian Express Midland Terminal and [N] Medallion 158 Station in Midland County Texas; Enterprise Midland Terminal in Midland County, Texas; P66 Gray Oak Pipeline in Upton County, Texas",31.00
