Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Delaware gathering pipelines located in Lea County, New Mexico",Falcon CDP or Raptor CDP,$0.5312
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Delaware gathering pipelines located in Lea County, New Mexico",Falcon CDP or Raptor CDP,$0.5412
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Delaware gathering pipelines located in Eddy County, New Mexico",Falcon CDP or Raptor CDP,$0.5312
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Delaware gathering pipelines located in Eddy County, New Mexico",Falcon CDP or Raptor CDP,$0.5412
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Trucking locations in Lea County, New Mexico and Eddy County, New Mexico",Falcon CDP or Raptor CDP,$0.1703
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,"Trucking locations in Lea County, New Mexico and Eddy County, New Mexico",Falcon CDP or Raptor CDP,$0.1703
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"El Mar Area Delivery Points in Loving County, Texas",$0.2606
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"El Mar Area Delivery Points in Loving County, Texas",$0.2706
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"Thomas Area Delivery Points in Eddy County, New Mexico",$0.3147
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"Thomas Area Delivery Points in Eddy County, New Mexico",$0.3247
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"Conan Delivery Point in Loving County, Texas",$0.2606
"EnLink Delaware Crude Pipeline, LLC",04-10-2024,24,[W] Falcon CDP Area or Raptor CDP,"Conan Delivery Point in Loving County, Texas",$0.2706
